"timestamp","solved_time","puzzle_id","team_id","name","name-2"
"2022-01-14 11:57:38.757071","2022-01-15 07:40:38.516987+11",20,25,"Singles Ready to Stay Inside","The Missing Piece"
"2022-01-14 11:57:39.083906","2022-01-15 06:26:55.738626+11",21,25,"Singles Ready to Stay Inside","My First ABC"
"2022-01-14 11:57:39.41965","2022-01-15 15:34:00.910959+11",22,25,"Singles Ready to Stay Inside","Peter Pan"
"2022-01-14 11:57:39.767365","2022-01-15 18:49:01.22492+11",23,25,"Singles Ready to Stay Inside","Too Many Toys"
"2022-01-14 11:57:41.259479","2022-01-15 18:41:56.288389+11",29,25,"Singles Ready to Stay Inside","The Investigation"
"2022-01-14 11:57:42.967131","2022-01-17 12:49:34.312229+11",19,61,"Alpaxa","Ada Twist, Scientist"
"2022-01-14 11:57:43.291351",NULL,20,61,"Alpaxa","The Missing Piece"
"2022-01-14 11:57:43.616852",NULL,21,61,"Alpaxa","My First ABC"
"2022-01-14 11:57:43.959556",NULL,22,61,"Alpaxa","Peter Pan"
"2022-01-14 11:57:44.319497",NULL,23,61,"Alpaxa","Too Many Toys"
"2022-01-14 11:57:45.812441",NULL,29,61,"Alpaxa","The Investigation"
"2022-01-14 11:57:47.481527","2022-01-15 06:04:41.262102+11",19,31,"I'm not a planet either","Ada Twist, Scientist"
"2022-01-14 11:57:47.819974","2022-01-15 06:52:32.269091+11",20,31,"I'm not a planet either","The Missing Piece"
"2022-01-14 11:57:48.182171","2022-01-15 06:07:54.524259+11",21,31,"I'm not a planet either","My First ABC"
"2022-01-14 11:57:48.516119","2022-01-15 07:35:35.754379+11",22,31,"I'm not a planet either","Peter Pan"
"2022-01-14 11:57:48.863713","2022-01-15 10:07:24.75639+11",23,31,"I'm not a planet either","Too Many Toys"
"2022-01-14 11:57:50.323643","2022-01-15 09:47:35.161368+11",29,31,"I'm not a planet either","The Investigation"
"2022-01-14 11:57:51.968758","2022-01-16 19:18:41.947849+11",19,28,"The Most Serene Republic of Dan Marino","Ada Twist, Scientist"
"2022-01-14 11:57:52.288879",NULL,20,28,"The Most Serene Republic of Dan Marino","The Missing Piece"
"2022-01-14 11:57:52.65308",NULL,21,28,"The Most Serene Republic of Dan Marino","My First ABC"
"2022-01-14 11:57:52.980067",NULL,22,28,"The Most Serene Republic of Dan Marino","Peter Pan"
"2022-01-14 11:57:53.307026",NULL,23,28,"The Most Serene Republic of Dan Marino","Too Many Toys"
"2022-01-14 11:57:54.780277",NULL,29,28,"The Most Serene Republic of Dan Marino","The Investigation"
"2022-01-14 11:57:56.455504","2022-01-15 05:37:00.070661+11",19,30,"Setec Astronomy","Ada Twist, Scientist"
"2022-01-14 11:57:56.81195","2022-01-15 05:21:26.829981+11",20,30,"Setec Astronomy","The Missing Piece"
"2022-01-14 11:57:57.146143","2022-01-15 05:35:34.507446+11",21,30,"Setec Astronomy","My First ABC"
"2022-01-14 11:57:57.489105","2022-01-15 05:56:09.586117+11",22,30,"Setec Astronomy","Peter Pan"
"2022-01-14 11:57:57.839497","2022-01-15 06:50:34.8731+11",23,30,"Setec Astronomy","Too Many Toys"
"2022-01-14 11:57:59.430742","2022-01-15 07:33:19.33226+11",29,30,"Setec Astronomy","The Investigation"
"2022-01-14 11:58:01.129632","2022-01-15 12:55:37.524835+11",19,97,"Team Plaid Thong","Ada Twist, Scientist"
"2022-01-14 11:58:01.460406","2022-01-16 06:23:47.4776+11",20,97,"Team Plaid Thong","The Missing Piece"
"2022-01-14 11:58:01.792305","2022-01-15 09:17:07.195553+11",21,97,"Team Plaid Thong","My First ABC"
"2022-01-14 11:58:02.153139",NULL,22,97,"Team Plaid Thong","Peter Pan"
"2022-01-14 11:58:02.491656","2022-01-16 03:57:14.756794+11",23,97,"Team Plaid Thong","Too Many Toys"
"2022-01-14 11:58:04.063737",NULL,29,97,"Team Plaid Thong","The Investigation"
"2022-01-14 11:58:05.968056","2022-01-16 04:40:53.453554+11",19,32,"game time started","Ada Twist, Scientist"
"2022-01-14 11:58:06.337273","2022-01-16 06:24:25.000067+11",20,32,"game time started","The Missing Piece"
"2022-01-14 11:58:06.669773","2022-01-15 08:01:07.065799+11",21,32,"game time started","My First ABC"
"2022-01-14 11:58:07.002134",NULL,22,32,"game time started","Peter Pan"
"2022-01-14 11:58:07.330219",NULL,23,32,"game time started","Too Many Toys"
"2022-01-14 11:58:07.71691",NULL,29,32,"game time started","The Investigation"
"2022-01-14 11:58:09.448814","2022-01-15 11:39:29.470624+11",19,4,"Les Gaulois","Ada Twist, Scientist"
"2022-01-14 11:58:09.798941","2022-01-15 07:40:23.550489+11",20,4,"Les Gaulois","The Missing Piece"
"2022-01-14 11:58:10.148273","2022-01-15 05:58:36.083357+11",21,4,"Les Gaulois","My First ABC"
"2022-01-14 11:58:10.482399","2022-01-16 02:10:40.816842+11",22,4,"Les Gaulois","Peter Pan"
"2022-01-14 11:58:10.819795","2022-01-16 02:03:22.111292+11",23,4,"Les Gaulois","Too Many Toys"
"2022-01-14 11:58:12.276265","2022-01-16 02:24:10.671977+11",29,4,"Les Gaulois","The Investigation"
"2022-01-14 11:58:13.988287","2022-01-15 05:42:57.683137+11",19,9,"NES","Ada Twist, Scientist"
"2022-01-14 11:58:14.347462","2022-01-15 05:24:52.343916+11",20,9,"NES","The Missing Piece"
"2022-01-14 11:58:14.679762","2022-01-15 05:28:05.492602+11",21,9,"NES","My First ABC"
"2022-01-14 11:58:15.054792","2022-01-15 05:36:19.86466+11",22,9,"NES","Peter Pan"
"2022-01-14 11:58:15.416308","2022-01-15 06:31:06.402601+11",23,9,"NES","Too Many Toys"
"2022-01-14 11:58:16.896185","2022-01-15 07:33:00.616729+11",29,9,"NES","The Investigation"
"2022-01-14 11:58:18.594633",NULL,19,65,"Mirecourt","Ada Twist, Scientist"
